NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,place,State,Year
"East Brooklyn CDP, Connecticut",1672,42.3,2.32,366,72,1636,14,271,823,849,57,0,40,22,929,722,207,422,300,184800,676,444,85,199,929,316,41,207,722,51964,22970,75,844,449,1672,756,25,694,733,09,21160,Connecticut,2015
"Moosup CDP, Connecticut",3192,43.1,2.64,616,226,2929,224,440,1629,1563,21,61,122,59,1388,1202,186,730,472,162900,787,820,30,178,1388,642,107,186,1202,53571,25280,150,1678,251,3192,1528,62,1412,1425,09,49180,Connecticut,2015
"Quinebaug CDP, Connecticut",1102,50.0,2.31,296,78,1090,0,51,504,598,24,0,14,9,501,477,24,402,75,207000,942,364,0,41,501,241,24,24,477,59638,34909,21,574,78,1062,553,58,505,525,09,63270,Connecticut,2015
"Wauregan CDP, Connecticut",1428,30.8,3.15,301,70,1274,46,0,701,727,125,0,68,6,558,453,105,206,247,172500,1085,176,209,95,558,160,25,105,453,48274,18551,122,683,259,1428,561,86,535,542,09,80630,Connecticut,2015
"Madison Center CDP, Connecticut",2421,52.6,2.06,275,605,2340,18,4,1077,1344,29,30,54,41,1503,1130,373,665,465,542200,1199,1083,70,72,1503,429,46,373,1130,60250,54526,104,1004,188,2329,900,0,828,900,09,44630,Connecticut,2015
"Long Hill CDP, Connecticut",4269,37.2,1.76,1075,588,3411,37,458,2058,2211,84,64,159,15,2674,2300,374,528,1772,152000,1231,380,21,0,2674,357,23,374,2300,52233,36125,63,2468,218,4078,2092,48,2332,2394,09,43790,Connecticut,2015
"Sherwood Manor CDP, Connecticut",5457,45.3,2.52,1205,745,5015,273,97,2598,2859,132,82,156,36,2238,2160,78,1989,171,196000,1143,1757,238,41,2238,1301,240,78,2160,73673,32382,255,2976,211,5438,2721,10,2634,2693,09,68450,Connecticut,2015
"Southwood Acres CDP, Connecticut",7731,43.3,2.64,1993,877,7319,290,219,3736,3995,148,131,313,91,3067,2931,136,2618,313,185000,1233,2714,114,35,3067,1713,410,136,2931,81756,34797,310,4508,461,7731,4177,70,3940,4093,09,71460,Connecticut,2015
"Weatogue CDP, Connecticut",3020,42.4,2.81,242,760,2657,40,74,1536,1484,88,58,61,65,1076,1067,9,911,156,324600,1134,889,57,0,1076,662,170,9,1067,120313,52617,45,1714,32,3000,1669,10,1509,1618,09,80770,Connecticut,2015
"New London city, Connecticut",27423,30.7,2.16,4529,2123,16186,4653,8078,12714,14709,589,995,864,162,12254,10770,1484,3786,6984,185400,879,3855,486,1751,12254,2662,564,1484,10770,36250,21736,1844,15241,6733,23526,12017,550,11956,13129,09,52280,Connecticut,2015
"Niantic CDP, Connecticut",3005,52.3,2.09,566,563,2782,31,102,1453,1552,76,20,97,69,1713,1405,308,1018,387,287300,1162,1262,71,148,1713,598,134,308,1405,71193,47116,145,1742,230,2950,1597,6,1526,1557,09,53120,Connecticut,2015
"Pawcatuck CDP, Connecticut",5242,41.5,2.35,1037,774,4543,197,293,2378,2864,140,78,138,45,2532,2233,299,1265,968,260800,849,1309,13,377,2532,885,106,299,2233,49522,29790,233,2746,796,5226,2503,16,2376,2441,09,59140,Connecticut,2015
"Bridgeport city, Connecticut",147340,32.8,2.83,26530,9834,59516,52747,57921,71512,75828,5501,2785,5758,860,57889,50367,7522,20861,29506,169100,1098,14691,4202,9976,57889,14871,2635,7522,50367,41801,21002,12803,79862,32706,142628,67047,3218,63679,65257,09,08000,Connecticut,2015
"Waterbury city, Connecticut",109551,35.2,2.68,22148,6671,68499,22105,38617,53093,56458,4044,1905,3082,778,47356,40213,7143,18466,21747,134500,902,17524,1621,5362,47356,12663,2313,7143,40213,40467,20685,7206,52850,27081,107774,45563,3014,43889,44529,09,80000,Connecticut,2015
"Hazardville CDP, Connecticut",4868,40.8,2.60,1077,418,4427,36,187,2479,2389,195,65,56,58,1954,1827,127,1593,234,179600,1332,1732,55,86,1954,1040,171,127,1827,77226,32938,338,2849,152,4718,2507,28,2396,2465,09,37770,Connecticut,2015
"North Granby CDP, Connecticut",1781,39.1,3.03,217,474,1653,33,203,863,918,54,0,16,28,700,587,113,559,28,355500,-666666666,700,0,0,700,407,121,113,587,119938,44661,80,997,34,1781,917,13,789,917,09,54660,Connecticut,2015
"Terramuggus CDP, Connecticut",862,48.5,2.33,120,218,782,0,39,423,439,44,20,0,0,370,370,0,351,19,244000,-666666666,370,0,0,370,267,67,0,370,96667,40232,40,531,0,862,491,8,401,456,09,75200,Connecticut,2015
"West Hartford CDP, Connecticut",63288,41.8,2.46,5872,12238,50933,4477,6155,29728,33560,1735,689,1853,613,26262,24935,1327,17953,6982,313500,1211,17480,794,1349,26262,12377,2730,1327,24935,86569,49600,1932,34377,4911,61435,32445,725,30347,31675,09,82660,Connecticut,2015
"Bethlehem Village CDP, Connecticut",1850,49.3,2.55,355,261,1814,36,12,951,899,10,53,63,15,875,715,160,584,131,269100,975,814,8,40,875,443,122,160,715,79018,42782,111,1109,148,1847,998,8,925,988,09,04945,Connecticut,2015
"New Preston CDP, Connecticut",915,55.0,2.18,128,167,891,0,65,506,409,20,0,0,44,639,419,220,333,86,387500,1152,582,10,0,639,210,74,220,419,74583,46230,15,483,69,915,468,0,429,468,09,52770,Connecticut,2015
"Jewett City borough, Connecticut",3472,29.9,2.54,639,131,3078,48,400,1528,1944,191,43,333,0,1581,1362,219,559,803,157700,971,489,197,204,1581,405,120,219,1362,42900,21089,237,1756,607,3377,1519,88,1519,1519,09,39940,Connecticut,2015
"Wallingford Center CDP, Connecticut",17710,41.9,2.35,3989,2604,15907,321,2603,8758,8952,444,236,748,149,8322,7320,1002,4433,2887,234200,1017,3916,301,1210,8322,3027,404,1002,7320,60313,32172,862,10455,1341,17230,9593,199,9224,9457,09,78880,Connecticut,2015
"Wethersfield CDP, Connecticut",26510,44.5,2.45,4222,4637,23282,831,2747,12504,14006,631,339,808,252,11274,10775,499,8369,2406,249300,1026,8397,509,519,11274,5438,958,499,10775,77195,38753,844,14066,1248,26447,13214,100,12440,12843,09,84970,Connecticut,2015
"Danielson borough, Connecticut",4026,40.2,2.27,704,468,3074,221,463,1903,2123,201,69,61,17,1958,1770,188,776,994,148800,906,804,123,389,1958,558,36,188,1770,41204,23194,158,2173,803,4023,2015,155,1963,1963,09,18780,Connecticut,2015
"Stratford CDP, Connecticut",52316,44.0,2.51,11660,7518,39523,8284,7473,24390,27926,1251,605,1471,721,22264,20714,1550,16541,4173,249900,1199,14435,2755,2161,22264,11303,2216,1550,20714,66886,34467,2387,29001,4115,51877,26604,558,25096,26064,09,74260,Connecticut,2015
"Meriden city, Connecticut",60439,39.9,2.41,14764,5439,47878,6458,15285,29398,31041,1892,519,2453,570,28704,24663,4041,14777,9886,179000,955,13988,1232,3607,28704,10363,1611,4041,24663,54588,28601,3543,32905,8667,59562,29300,1699,28075,28831,09,46450,Connecticut,2015
"Guilford Center CDP, Connecticut",2476,51.6,1.95,227,608,2464,10,97,1048,1428,62,17,24,57,1300,1250,50,731,519,378800,1185,681,127,181,1300,478,91,50,1250,69200,44439,36,1401,210,2459,1365,18,1240,1356,09,35020,Connecticut,2015
"Thompsonville CDP, Connecticut",8878,35.3,2.47,1959,754,6282,665,2126,4080,4798,194,71,389,108,3986,3478,508,1195,2283,176500,969,1295,128,816,3986,869,175,508,3478,47547,24683,520,5181,1825,8681,4661,209,4372,4561,09,75940,Connecticut,2015
"Bantam borough, Connecticut",842,47.7,2.00,205,96,793,19,12,443,399,18,14,23,17,456,422,34,243,179,231400,657,254,6,70,456,183,32,34,422,58158,38751,36,529,77,842,493,9,439,467,09,02690,Connecticut,2015
"Ridgefield CDP, Connecticut",7725,43.6,2.53,395,2174,7259,25,458,3760,3965,140,46,161,61,3446,3046,400,2169,877,681600,1531,2197,244,76,3446,1716,429,400,3046,112875,70463,128,3589,233,7725,3461,53,3124,3408,09,63900,Connecticut,2015
"Portland CDP, Connecticut",5619,46.9,2.20,1272,842,5301,157,184,2638,2981,15,69,153,101,2776,2485,291,1901,584,230000,969,2099,55,223,2776,1098,244,291,2485,69058,39037,201,3064,559,5551,2863,23,2639,2838,09,61870,Connecticut,2015
"Milford city (balance), Connecticut",51643,44.4,2.49,10172,8500,46769,1158,3368,24945,26698,1311,441,1482,473,22322,20573,1749,15907,4666,299600,1418,15471,1243,977,22322,11444,2539,1749,20573,80156,40503,2167,29416,3455,51238,27231,360,25271,26729,09,47515,Connecticut,2015
"Canaan CDP, Connecticut",1098,38.1,2.40,271,86,1098,0,151,514,584,0,0,59,35,556,457,99,264,193,203200,1042,392,19,0,556,163,28,99,457,48438,25102,7,584,118,1064,577,0,557,565,09,10870,Connecticut,2015
"Deep River Center CDP, Connecticut",2417,40.9,2.32,345,326,2160,138,132,1167,1250,154,26,66,32,1195,1034,161,774,260,248700,998,761,17,43,1195,515,104,161,1034,69432,46973,62,1408,186,2394,1332,20,1272,1304,09,19200,Connecticut,2015
"Baltic CDP, Connecticut",1026,41.0,2.28,320,53,847,25,41,507,519,27,5,69,4,509,450,59,185,265,162500,1091,140,124,120,509,89,32,59,450,42045,22821,50,522,179,1013,472,64,435,458,09,02550,Connecticut,2015
"Byram CDP, Connecticut",4836,37.9,2.95,787,790,3709,167,1905,2210,2626,174,72,210,37,1755,1636,119,698,938,627000,1838,673,168,495,1755,442,92,119,1636,83947,43713,259,2795,373,4836,2536,58,2414,2450,09,10660,Connecticut,2015
"Brooklyn CDP, Connecticut",908,55.1,1.99,157,84,695,94,123,705,203,0,7,78,21,150,150,0,119,31,200700,-666666666,127,0,0,150,94,23,0,150,100962,19573,13,156,60,375,143,0,121,143,09,09120,Connecticut,2015
"Cannondale CDP, Connecticut",117,51.0,2.28,0,39,107,2,0,73,44,0,0,2,3,46,46,0,27,19,,-666666666,46,0,0,46,27,18,0,46,,81448,5,65,10,117,60,0,60,60,09,11990,Connecticut,2015
"Conning Towers Nautilus Park CDP, Connecticut",9814,23.7,2.82,1179,920,7512,984,1364,6180,3634,523,678,473,0,2737,2456,281,442,2014,240500,1486,709,975,240,2737,360,44,281,2456,60450,25352,317,6362,390,6911,2344,100,5485,6000,09,16960,Connecticut,2015
"Cos Cob CDP, Connecticut",6433,41.8,2.72,554,1361,5462,97,514,3225,3208,224,78,126,33,2506,2346,160,1730,616,930100,1897,1718,275,222,2506,1245,333,160,2346,142500,71688,315,3470,199,6418,3155,28,2766,3034,09,17520,Connecticut,2015
"Falls Village CDP, Connecticut",403,52.6,1.94,82,91,392,0,2,193,210,2,3,17,5,243,208,35,119,89,313600,882,164,0,12,243,81,16,35,208,67500,44043,4,256,40,403,252,0,218,235,09,27390,Connecticut,2015
