NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,place,State,Year
"Brownsville CDP, Louisiana",4193,33.0,2.54,1118,111,2989,1008,333,2080,2113,212,59,105,36,2226,1647,579,871,776,50000,659,1332,0,28,2226,323,10,579,1647,25865,14644,149,1991,1410,4147,1842,18,1765,1789,22,10225,Louisiana,2015
"Buras CDP, Louisiana",1001,36.2,2.31,202,33,892,0,0,443,558,37,0,82,0,495,433,62,382,51,64700,1108,191,0,0,495,196,0,62,433,43472,23461,4,428,101,931,424,16,424,424,22,10985,Louisiana,2015
"Cade CDP, Louisiana",1428,41.8,2.25,180,76,1025,283,21,794,634,16,0,48,22,734,634,100,491,143,141200,715,465,0,0,734,244,20,100,634,48750,32427,165,876,221,1428,711,0,646,661,22,11580,Louisiana,2015
"Calhoun CDP, Louisiana",621,33.5,2.04,111,14,621,0,0,253,368,15,0,79,9,349,304,45,212,92,,707,119,0,0,349,122,0,45,304,,30377,20,313,113,621,293,0,267,293,22,11825,Louisiana,2015
"Catahoula CDP, Louisiana",923,32.7,3.11,278,9,923,0,0,373,550,10,0,90,0,388,297,91,297,0,75100,-666666666,297,0,0,388,114,0,91,297,34410,13143,0,252,220,923,252,0,252,252,22,13330,Louisiana,2015
"Center Point CDP, Louisiana",332,57.3,2.11,52,42,318,14,0,105,227,0,0,19,0,130,122,8,100,22,168400,-666666666,81,0,0,130,40,0,8,122,30625,13395,5,83,98,258,78,0,78,78,22,13855,Louisiana,2015
"Choctaw CDP, Louisiana",842,44.3,2.31,157,13,751,0,0,394,448,0,15,51,24,365,365,0,325,40,24500,-666666666,162,0,0,365,48,7,0,365,26220,16603,117,351,241,842,234,0,234,234,22,15150,Louisiana,2015
"Convent CDP, Louisiana",628,40.2,2.39,142,44,258,366,17,455,173,0,13,6,8,254,221,33,166,55,,-666666666,144,0,0,254,77,0,33,221,,28098,90,286,126,535,196,0,184,184,22,17180,Louisiana,2015
"Crescent CDP, Louisiana",409,66.3,2.00,45,12,213,196,10,177,232,0,0,29,0,233,205,28,205,0,56300,-666666666,156,0,0,233,18,0,28,205,45982,22009,0,154,41,409,154,0,154,154,22,18335,Louisiana,2015
"Egan CDP, Louisiana",559,40.7,1.97,299,68,559,0,0,250,309,11,0,62,0,284,284,0,222,62,119500,-666666666,259,0,0,284,67,0,0,284,36250,23343,26,183,199,559,157,0,153,157,22,23025,Louisiana,2015
"Fifth Ward CDP, Louisiana",735,48.0,2.18,227,20,735,0,0,378,357,60,0,26,0,372,337,35,305,32,63000,-666666666,211,13,0,372,96,0,35,337,,27818,32,278,177,735,246,0,246,246,22,25545,Louisiana,2015
"Frierson CDP, Louisiana",530,29.3,6.54,70,0,381,136,86,241,289,0,36,0,0,81,81,0,58,23,,-666666666,81,0,0,81,36,36,0,81,50729,8322,0,160,197,530,160,0,160,160,22,27540,Louisiana,2015
"Erwinville CDP, Louisiana",2010,40.7,2.49,623,124,1791,219,7,1168,842,44,16,23,10,849,808,41,751,57,200300,-666666666,747,0,0,849,473,62,41,808,66296,30796,19,1220,63,2010,1201,20,1117,1117,22,24250,Louisiana,2015
"Fort Jesup CDP, Louisiana",291,44.7,1.98,82,41,291,0,0,121,170,0,5,0,10,179,147,32,97,50,75800,,165,0,0,179,31,0,32,147,34125,25039,27,196,25,291,169,0,163,163,22,26665,Louisiana,2015
"Gillis CDP, Louisiana",495,49.6,2.37,176,0,495,0,18,185,310,0,0,0,0,255,209,46,173,36,74300,-666666666,32,0,0,255,85,0,46,209,43862,15733,18,193,51,495,175,0,175,175,22,29045,Louisiana,2015
"Glencoe CDP, Louisiana",313,32.6,2.68,33,26,93,220,71,184,129,0,0,0,0,117,117,0,68,49,9999,-666666666,46,0,0,117,0,0,0,117,24931,21437,29,198,128,313,169,0,169,169,22,29150,Louisiana,2015
"Gloster CDP, Louisiana",101,32.3,2.20,0,0,101,0,0,46,55,0,0,46,0,46,46,0,0,46,-666666666,-666666666,0,0,0,46,0,0,0,46,-666666666,,0,75,0,101,75,0,75,75,22,29395,Louisiana,2015
"Grand Point CDP, Louisiana",2383,37.8,2.77,751,170,1526,845,26,1123,1260,74,22,37,0,875,861,14,743,118,186300,,655,0,0,875,396,25,14,861,73217,30895,49,1182,271,2383,1133,0,1079,1102,22,30900,Louisiana,2015
"Hayes CDP, Louisiana",886,22.5,4.06,235,47,886,0,0,537,349,43,0,49,0,265,218,47,218,0,99500,-666666666,160,0,0,265,128,0,47,218,68750,18093,80,435,239,886,355,0,316,316,22,33490,Louisiana,2015
"Hester CDP, Louisiana",308,48.3,2.41,78,17,258,50,11,189,119,0,0,0,0,128,128,0,117,11,294600,-666666666,128,0,0,128,83,25,0,128,89500,42848,0,173,0,308,173,0,173,173,22,34085,Louisiana,2015
"Jordan Hill CDP, Louisiana",115,24.7,2.45,28,0,115,0,0,72,43,0,0,0,0,113,47,66,11,36,-666666666,-666666666,73,0,0,113,5,0,66,47,78317,28601,15,78,0,115,63,0,63,63,22,38845,Louisiana,2015
"Joyce CDP, Louisiana",212,50.9,1.91,22,0,212,0,0,85,127,0,11,5,0,133,111,22,43,68,93900,589,70,0,0,133,6,0,22,111,39943,23258,5,114,14,212,109,0,109,109,22,38880,Louisiana,2015
"Kraemer CDP, Louisiana",954,43.9,2.65,211,28,897,0,24,392,562,6,0,27,7,405,360,45,360,0,87400,-666666666,283,0,0,405,98,4,45,360,49167,23504,15,448,195,954,433,5,433,433,22,40210,Louisiana,2015
"Lacassine CDP, Louisiana",431,26.3,3.48,104,42,300,131,0,270,161,30,87,14,0,151,124,27,105,19,104900,-666666666,115,0,0,151,65,0,27,124,53500,20213,0,234,0,431,234,0,234,234,22,40595,Louisiana,2015
"Simpson village, Louisiana",706,34.6,2.93,142,70,706,0,46,364,342,13,2,30,3,329,241,88,192,49,138300,900,238,0,0,329,85,9,88,241,77656,34982,12,389,65,696,377,0,369,377,22,70595,Louisiana,2015
"Reeves village, Louisiana",266,25.9,3.50,60,9,250,2,7,142,124,28,4,9,2,100,76,24,67,9,82500,781,59,0,0,100,49,4,24,76,55000,17222,3,97,59,266,94,2,83,90,22,64100,Louisiana,2015
"Quitman village, Louisiana",156,33.5,2.40,28,16,147,3,0,74,82,11,0,5,0,79,65,14,51,14,82500,650,57,0,0,79,19,0,14,65,50417,23942,0,52,7,156,52,0,52,52,22,63120,Louisiana,2015
"Springhill city, Louisiana",5194,43.8,2.42,1434,395,3247,1905,73,2373,2821,96,30,131,50,2630,2099,531,1225,874,78400,503,1957,37,0,2630,508,0,531,2099,26899,18815,74,1842,1838,5103,1768,90,1689,1697,22,72485,Louisiana,2015
"Palmetto village, Louisiana",152,53.5,2.11,43,8,72,77,0,68,84,0,0,5,0,83,72,11,48,24,55000,413,56,0,5,83,10,3,11,72,25500,22665,3,40,40,152,37,2,36,37,22,58780,Louisiana,2015
"DeQuincy city, Louisiana",3179,36.7,2.59,743,107,2794,232,0,1455,1724,141,0,114,8,1491,1200,291,786,414,72700,770,904,0,64,1491,184,22,291,1200,38969,17696,69,1278,674,3111,1209,11,1153,1153,22,20575,Louisiana,2015
"Bayou Gauche CDP, Louisiana",2154,39.3,2.65,501,175,2135,0,0,1044,1110,41,28,37,17,869,812,57,776,36,211700,-666666666,697,0,0,869,289,39,57,812,69211,30444,52,1071,141,2154,1019,56,970,1000,22,05315,Louisiana,2015
"Hammond city, Louisiana",20272,27.9,2.55,2751,1796,9804,9873,509,9123,11149,605,722,602,220,8132,6762,1370,3030,3732,148100,749,4276,149,1007,8132,1801,221,1370,6762,31694,18440,1441,10065,5403,17139,8624,156,8089,8444,22,32755,Louisiana,2015
"Natalbany CDP, Louisiana",2587,29.7,2.44,375,305,1510,850,451,1303,1284,34,28,328,23,1200,1003,197,299,704,80600,760,290,51,268,1200,65,0,197,1003,34375,20940,122,1578,684,2587,1456,0,1447,1447,22,53475,Louisiana,2015
"Calvin village, Louisiana",230,35.8,2.84,70,2,203,11,0,110,120,5,5,5,0,107,81,26,60,21,66300,504,54,0,0,107,30,0,26,81,33125,14687,12,83,70,230,71,0,65,65,22,11930,Louisiana,2015
"Donaldsonville city, Louisiana",7577,32.5,2.98,1974,486,1993,5575,55,3353,4224,196,222,165,44,2906,2532,374,1664,868,109700,583,1866,155,153,2906,1029,154,374,2532,33545,16659,450,3536,2143,7550,3055,0,2953,2953,22,21240,Louisiana,2015
"Franklinton town, Louisiana",3793,44.4,2.37,756,255,1875,1855,35,2017,1776,77,21,53,95,1853,1481,372,910,571,121000,506,1407,0,10,1853,398,48,372,1481,28926,17634,133,1397,713,3512,1264,0,1226,1238,22,27190,Louisiana,2015
"Gray CDP, Louisiana",5515,31.5,2.69,1186,276,3004,2184,154,2572,2943,264,89,216,41,2214,2054,160,1439,615,84800,811,1093,0,13,2214,808,70,160,2054,36538,18617,124,2405,1464,5515,2281,7,2139,2223,22,31180,Louisiana,2015
"Loreauville village, Louisiana",722,33.9,2.59,187,29,603,109,11,339,383,49,18,45,3,311,279,32,191,88,98100,586,201,6,0,311,61,4,32,279,43068,23183,28,332,134,722,304,2,304,304,22,45670,Louisiana,2015
"Baton Rouge city, Louisiana",229186,31.1,2.49,33541,26163,88829,126659,7444,109533,119653,7221,5064,8360,2193,102209,88476,13733,44233,44243,156400,788,59359,2512,3016,102209,26301,3086,13733,88476,39876,24158,11098,118935,56573,221037,107812,1128,102808,105654,22,05000,Louisiana,2015
"Monticello CDP, Louisiana",5260,36.2,2.81,1007,721,771,4173,0,2457,2803,157,141,189,71,1937,1872,65,1717,155,141100,840,1756,10,133,1937,1305,95,65,1872,65046,26065,177,2757,651,5241,2580,5,2401,2432,22,51645,Louisiana,2015
"Stanley village, Louisiana",182,52.5,2.64,76,4,169,0,0,98,84,6,0,0,5,74,69,5,44,25,76300,475,67,0,0,74,15,0,5,69,46406,24925,12,91,13,182,79,0,79,79,22,72800,Louisiana,2015
"Pleasant Hill village, Louisiana",704,41.5,2.66,208,29,320,357,14,323,381,44,11,21,12,390,265,125,156,109,69100,249,223,6,45,390,49,0,125,265,24931,19312,24,256,193,701,232,12,221,227,22,61055,Louisiana,2015
"Bogalusa city, Louisiana",12006,35.1,2.52,2664,576,5673,5862,741,5242,6764,356,184,334,50,6066,4672,1394,2710,1962,65900,565,4935,57,269,6066,1058,111,1394,4672,23315,13750,973,4307,4323,11760,3334,84,3232,3281,22,08150,Louisiana,2015
"Ruston city, Louisiana",22185,24.0,2.42,1666,2512,11248,9909,272,10777,11408,634,985,501,70,9172,8224,948,3096,5128,154200,666,5326,86,1252,9172,1686,126,948,8224,28560,16859,1212,10914,7841,20029,9691,38,9301,9578,22,66655,Louisiana,2015
"Houma city, Louisiana",33982,35.4,2.77,7290,2552,22429,8092,1883,16974,17008,1367,403,1086,273,13430,12167,1263,7938,4229,150800,762,10284,151,520,13430,4052,524,1263,12167,47052,23829,939,15757,7033,33639,14808,191,14364,14596,22,36255,Louisiana,2015
"Cameron CDP, Louisiana",392,48.9,2.35,110,29,392,0,0,208,184,0,4,0,8,167,167,0,167,0,,-666666666,112,0,0,167,11,8,0,167,64491,30136,0,181,33,392,181,9,181,181,22,12000,Louisiana,2015
"Maringouin town, Louisiana",871,45.9,2.64,244,30,117,754,0,390,481,20,34,23,2,376,330,46,232,98,85700,317,292,8,7,376,90,0,46,330,25179,16418,85,499,280,871,414,3,386,388,22,48610,Louisiana,2015
"Choudrant village, Louisiana",1200,30.2,2.67,223,138,1039,112,47,619,581,56,71,31,3,486,450,36,313,137,152500,730,364,2,10,486,177,16,36,450,52386,27759,74,661,154,1200,587,7,559,584,22,15290,Louisiana,2015
"Vienna town, Louisiana",480,37.5,2.68,60,75,459,12,10,248,232,4,0,24,6,197,179,18,143,36,221300,765,135,1,0,197,80,7,18,179,57031,30382,18,253,67,480,235,0,217,231,22,78540,Louisiana,2015
"Melville town, Louisiana",1383,29.7,2.95,301,36,480,699,156,769,614,38,0,37,8,528,469,59,260,209,58200,533,346,17,24,528,59,7,59,469,17670,9563,13,377,619,1383,364,13,332,332,22,49730,Louisiana,2015
"Opelousas city, Louisiana",16638,34.6,2.66,3962,653,3383,12947,88,7615,9023,691,314,494,171,7256,6027,1229,3028,2999,88300,572,4707,64,636,7256,1354,133,1229,6027,20434,14773,531,5649,6713,16012,5118,50,4912,5035,22,58045,Louisiana,2015
"Bayou Cane CDP, Louisiana",21067,33.9,2.59,4456,1546,16139,2877,2054,10083,10984,799,82,780,192,8523,7976,547,4672,3304,152700,945,5026,203,377,8523,2562,228,547,7976,51319,26248,339,10233,2829,20685,9820,99,9571,9780,22,05210,Louisiana,2015
"Schriever CDP, Louisiana",7142,32.8,2.80,1584,389,4986,1968,117,3494,3648,287,70,283,59,2739,2551,188,1805,746,113300,924,1618,22,238,2739,926,132,188,2551,46652,21854,237,3453,1535,7142,3216,24,3040,3107,22,68300,Louisiana,2015
"Eros town, Louisiana",173,37.1,2.66,43,4,173,0,22,77,96,2,0,10,0,72,65,7,44,21,92500,650,49,0,3,72,21,1,7,65,31250,15308,10,68,35,173,58,3,50,50,22,24215,Louisiana,2015
"Jonesboro town, Louisiana",4653,35.0,2.38,1124,219,2234,2412,24,2486,2167,140,110,205,13,1936,1517,419,816,701,56200,489,1492,4,120,1936,394,7,419,1517,20156,11527,162,1236,1824,3620,1074,31,997,1028,22,38670,Louisiana,2015
"Poydras CDP, Louisiana",2271,37.6,2.84,614,58,1918,315,141,1190,1081,30,65,85,12,889,799,90,714,85,113100,766,762,0,0,889,257,22,90,799,37354,16842,257,1055,413,2257,798,0,757,767,22,62280,Louisiana,2015
"Dubberly village, Louisiana",209,51.1,2.32,63,2,182,16,5,104,105,0,5,10,0,114,90,24,71,19,133700,575,75,0,0,114,11,0,24,90,37917,24682,7,89,23,209,82,0,82,82,22,21835,Louisiana,2015
"Minden city, Louisiana",12887,37.1,2.58,3059,920,5464,7119,109,6163,6724,495,157,415,67,5695,4839,856,2940,1899,85600,652,4421,17,136,5695,1307,99,856,4839,29651,17653,534,5367,2986,12466,4833,200,4725,4762,22,50885,Louisiana,2015
"Shongaloo village, Louisiana",175,35.9,2.69,23,28,174,0,0,92,83,2,0,4,12,78,65,13,59,6,108900,,57,0,0,78,18,1,13,65,44688,22325,1,79,21,175,78,0,73,78,22,69455,Louisiana,2015
"Bonita village, Louisiana",178,50.9,2.28,42,1,66,112,25,80,98,1,6,0,4,124,78,46,47,31,36900,470,111,2,0,124,10,2,46,78,15556,9914,8,68,106,178,60,1,60,60,22,08535,Louisiana,2015
"Elton town, Louisiana",1278,38.1,2.40,376,15,606,620,48,582,696,37,0,22,30,642,533,109,326,207,62100,510,446,21,25,642,75,3,109,533,31510,16521,64,571,255,1276,507,6,492,496,22,23620,Louisiana,2015
"Estelle CDP, Louisiana",15355,36.9,2.99,3287,1002,9216,4760,1474,7431,7924,664,208,329,166,5435,5130,305,4168,962,143100,1086,5147,45,108,5435,2972,344,305,5130,49473,21821,376,6992,2350,15324,6616,109,6411,6477,22,24390,Louisiana,2015
"Lafayette city, Louisiana",124982,33.4,2.41,16447,18749,80381,38750,6289,61137,63845,3599,1926,4433,1224,54677,50025,4652,27414,22611,173900,800,33673,2097,1302,54677,15896,1994,4652,50025,46517,29844,3960,67790,23043,120680,63656,555,61097,62800,22,40735,Louisiana,2015
"Rodessa village, Louisiana",241,42.1,2.56,57,7,161,34,0,124,117,0,6,16,0,104,94,10,69,25,26300,725,65,0,0,104,24,2,10,94,32500,18817,9,84,66,241,75,1,73,73,22,65710,Louisiana,2015
"Welsh town, Louisiana",3223,34.8,2.73,642,141,2104,960,167,1582,1641,175,4,111,43,1320,1145,175,752,393,85700,586,941,61,9,1320,326,6,175,1145,33683,16699,141,1303,825,3112,1149,0,1100,1148,22,80430,Louisiana,2015
"Barataria CDP, Louisiana",859,56.2,2.29,220,19,742,0,0,488,371,32,0,43,27,458,375,83,344,31,98800,-666666666,380,27,0,458,104,1,83,375,29879,23279,99,550,181,859,451,7,375,391,22,04300,Louisiana,2015
"Timberlane CDP, Louisiana",10996,36.9,3.18,2045,1102,5041,4192,1404,5388,5608,413,151,292,41,3623,3435,188,2407,1028,159400,1134,2808,157,54,3623,1541,166,188,3435,56308,22467,267,5577,1450,10921,5228,61,5034,5148,22,75740,Louisiana,2015
"Westwego city, Louisiana",8564,42.3,2.39,1774,403,6207,1955,330,4016,4548,408,82,207,121,4238,3584,654,1928,1656,130400,771,2789,213,538,4238,949,82,654,3584,32694,18910,619,3909,2026,8531,3290,83,3139,3216,22,81165,Louisiana,2015
"Abita Springs town, Louisiana",2529,42.4,2.46,361,413,2415,70,131,1210,1319,41,20,54,49,1144,1030,114,900,130,188300,1000,1000,49,18,1144,683,107,114,1030,67250,35392,52,1470,161,2524,1418,13,1310,1407,22,00240,Louisiana,2015
"Slidell city, Louisiana",27567,38.4,2.69,4346,3136,21597,4883,1663,13234,14333,882,318,1133,290,11293,10135,1158,7097,3038,152600,951,8735,301,274,11293,4288,533,1158,10135,51958,24846,1299,13842,4441,27217,12476,79,11915,12273,22,70805,Louisiana,2015
"Hall Summit village, Louisiana",377,34.7,2.88,80,22,316,61,21,205,172,11,0,9,4,171,131,40,95,36,59500,939,101,0,0,171,46,0,40,131,47188,18780,29,164,35,377,134,1,123,127,22,32650,Louisiana,2015
"Rayville town, Louisiana",3724,33.8,2.59,679,143,956,2742,0,1702,2022,84,25,81,36,1399,1389,10,574,815,66900,399,919,8,231,1399,319,19,10,1389,24946,13353,250,1669,1288,3630,1419,163,1399,1399,22,63680,Louisiana,2015
"Montpelier village, Louisiana",299,37.2,3.32,80,11,130,163,16,131,168,21,8,3,1,120,90,30,73,17,,-666666666,72,0,0,120,13,0,30,90,31786,13017,9,114,84,299,105,0,100,102,22,51690,Louisiana,2015
"Greenwood town, Louisiana",3223,44.8,2.24,667,400,1713,1356,110,1574,1649,51,117,155,20,1560,1441,119,1129,312,127700,711,987,26,0,1560,657,139,119,1441,51186,28782,51,1578,388,3223,1527,0,1455,1527,22,31705,Louisiana,2015
"Hosston village, Louisiana",310,44.3,2.44,105,16,230,51,2,161,149,5,6,11,1,163,127,36,105,22,82200,625,123,0,0,163,32,3,36,127,37188,18562,10,123,75,310,113,4,101,108,22,36150,Louisiana,2015
"Shreveport city, Louisiana",200015,35.0,2.52,34897,20538,80347,111386,5321,93954,106061,7782,2474,6810,1753,89039,77500,11539,43084,34416,130400,757,60779,3750,2257,89039,24416,2729,11539,77500,38583,24337,6783,93239,46097,195577,85557,1355,83280,85076,22,70000,Louisiana,2015
"Vivian town, Louisiana",3664,43.7,2.34,1047,141,2367,1000,138,1603,2061,49,12,87,18,1807,1563,244,812,751,55900,624,1209,7,63,1807,239,9,244,1563,25232,16742,148,1398,1026,3652,1250,48,1201,1224,22,78890,Louisiana,2015
"Jennings city, Louisiana",10226,36.6,2.56,2167,543,7356,2666,108,5003,5223,374,198,322,131,4548,3844,704,2437,1407,97900,528,3492,127,193,4548,1096,71,704,3844,28872,19341,379,4323,2361,9762,3944,153,3748,3860,22,38355,Louisiana,2015
"Grand Isle town, Louisiana",1002,43.1,2.49,220,19,1001,1,8,438,564,5,15,34,3,2068,397,1671,294,103,157100,868,1740,14,38,2068,103,22,1671,397,42841,19657,0,469,165,972,449,29,437,469,22,30830,Louisiana,2015
"Gretna city, Louisiana",17827,36.9,2.50,3691,1469,9498,6228,2587,8830,8997,595,132,795,194,7937,6754,1183,3295,3459,157000,812,4749,759,650,7937,1739,230,1183,6754,36880,22793,817,8177,3816,16825,7360,73,6929,7089,22,31915,Louisiana,2015
"Harahan city, Louisiana",9328,45.1,2.36,1820,1305,8822,259,303,4389,4939,275,114,251,126,4182,3870,312,2900,970,222900,976,3455,82,120,4182,1716,120,312,3870,60926,33841,175,5034,944,9129,4859,19,4745,4812,22,32930,Louisiana,2015
"Harvey CDP, Louisiana",21085,36.5,2.69,3851,1663,8691,9941,2678,9907,11178,558,287,687,128,9025,7758,1267,4419,3339,140100,899,5277,528,305,9025,2752,367,1267,7758,39014,21920,536,10470,4323,20878,9926,123,9782,9830,22,33245,Louisiana,2015
"Lecompte town, Louisiana",972,46.4,2.22,315,24,350,617,3,489,483,19,0,39,0,621,425,196,216,209,79500,506,536,3,8,621,94,0,196,425,28295,16823,22,404,129,943,382,15,354,382,22,42800,Louisiana,2015
"Pineville city, Louisiana",14455,31.1,2.46,2360,1219,9255,4403,472,7036,7419,698,362,591,133,6157,5246,911,2643,2603,122900,679,3657,30,410,6157,1464,139,911,5246,38049,19714,429,5979,2724,12772,5438,184,5341,5428,22,60530,Louisiana,2015
"Charenton CDP, Louisiana",1731,48.3,2.08,624,75,882,364,10,844,887,19,6,16,7,947,834,113,700,134,103500,446,663,0,31,947,182,10,113,834,33889,22255,68,728,158,1731,660,1,649,659,22,14310,Louisiana,2015
"Covington city, Louisiana",9350,35.0,2.37,1090,1464,7057,1953,576,4873,4477,395,98,616,57,3894,3491,403,2099,1392,211500,845,2935,67,199,3894,1188,143,403,3491,49141,26627,207,4266,1522,8289,4041,7,3754,3931,22,18125,Louisiana,2015
"Bayou Corne CDP, Louisiana",132,48.1,2.32,36,38,132,0,0,72,60,0,0,0,7,144,57,87,35,22,319200,-666666666,75,0,0,144,22,7,87,57,100568,31870,7,79,11,132,72,0,72,72,22,05255,Louisiana,2015
"Morganza village, Louisiana",932,34.5,2.96,232,32,591,326,2,434,498,47,10,39,0,362,315,47,218,97,84100,629,286,0,15,362,79,0,47,315,40066,19693,30,392,225,932,362,0,340,343,22,52075,Louisiana,2015
"Arcadia town, Louisiana",2897,40.4,2.42,565,150,967,1790,54,1289,1608,72,14,87,6,1299,1091,208,550,541,82800,482,885,10,125,1299,228,13,208,1091,20875,17477,200,1036,1192,2631,836,15,762,808,22,02655,Louisiana,2015
"Castor village, Louisiana",299,27.3,3.32,50,9,239,46,3,124,175,5,9,3,9,125,90,35,48,42,83300,665,73,1,0,125,24,0,35,90,29643,11276,5,83,57,299,78,2,76,78,22,13260,Louisiana,2015
"Richwood town, Louisiana",5993,31.4,2.31,1187,86,1338,4583,142,5185,808,46,213,878,37,665,570,95,223,347,45600,585,430,3,0,665,59,8,95,570,19231,4893,36,594,492,1324,558,19,550,550,22,64660,Louisiana,2015
"Parks village, Louisiana",668,45.5,2.35,197,58,372,292,24,274,394,22,1,10,7,319,284,35,228,56,86700,,246,0,9,319,121,3,35,284,36442,23658,14,407,83,661,393,5,370,376,22,59165,Louisiana,2015
"South Vacherie CDP, Louisiana",3577,45.0,2.57,1145,268,2286,1260,0,1759,1818,152,40,146,22,1458,1391,67,1147,244,122700,633,1259,23,0,1458,604,67,67,1391,57193,29493,81,1851,201,3577,1770,10,1735,1764,22,72092,Louisiana,2015
"Sorrento town, Louisiana",1457,38.8,2.43,320,61,1191,252,32,680,777,26,20,59,7,641,599,42,452,147,117900,846,439,0,0,641,229,21,42,599,49125,26911,42,724,197,1447,682,4,645,679,22,71225,Louisiana,2015
"Merryville town, Louisiana",1069,41.8,2.26,340,5,732,260,24,488,581,14,0,68,3,571,456,115,282,174,60700,264,290,1,63,571,67,0,115,456,24342,15161,27,330,280,1029,303,3,294,303,22,50010,Louisiana,2015
"Plaquemine city, Louisiana",6993,34.2,2.51,1356,296,3545,3344,216,3150,3843,292,123,193,37,3102,2748,354,1796,952,118200,660,2648,27,146,3102,876,105,354,2748,41447,24456,145,3241,1560,6904,3096,0,2950,2975,22,60880,Louisiana,2015
"White Castle town, Louisiana",2241,33.0,2.75,447,65,205,2036,58,1108,1133,145,52,57,21,912,814,98,420,394,95200,541,627,38,179,912,240,2,98,814,23261,12872,258,949,946,2241,691,15,655,687,22,81375,Louisiana,2015
"Simsboro village, Louisiana",1239,30.5,3.00,238,40,784,430,10,593,646,50,52,59,21,481,408,73,268,140,70000,649,254,4,5,481,123,5,73,408,40484,17066,33,597,301,1230,564,4,521,536,22,70630,Louisiana,2015
"Cankton village, Louisiana",641,25.6,2.98,174,14,484,118,59,332,309,33,0,26,3,239,215,24,172,43,81000,,116,3,0,239,81,9,24,215,49583,19074,7,291,145,641,284,3,271,276,22,12420,Louisiana,2015
"Krotz Springs town, Louisiana",1028,45.3,2.25,287,35,1028,0,4,523,505,23,3,45,4,541,456,85,297,159,55900,569,337,0,21,541,50,9,85,456,20847,14976,10,299,276,1028,289,0,289,289,22,40280,Louisiana,2015
"Chauvin CDP, Louisiana",2945,33.1,3.00,593,52,2767,12,62,1527,1418,142,59,71,43,1063,981,82,765,216,89400,744,957,0,22,1063,330,9,82,981,46141,19089,32,1081,611,2830,1049,23,996,1029,22,14520,Louisiana,2015
"Oakdale city, Louisiana",7722,41.4,2.41,1642,339,4796,2174,792,5041,2681,297,61,513,77,2593,2157,436,1357,800,62300,374,1921,3,288,2593,529,45,436,2157,29673,15060,179,2014,1280,5170,1835,111,1763,1800,22,56540,Louisiana,2015
"Hodge village, Louisiana",352,52.8,2.13,94,24,248,100,0,169,183,9,13,6,0,215,165,50,97,68,87900,546,200,6,5,215,29,0,50,165,41779,18116,0,118,62,352,118,0,112,112,22,35100,Louisiana,2015
"North Hodge village, Louisiana",507,31.1,2.37,106,17,367,119,40,264,243,22,3,12,0,272,214,58,105,109,56100,333,171,0,7,272,49,0,58,214,30278,15535,6,192,140,507,186,6,186,186,22,55910,Louisiana,2015
"New Orleans city, Louisiana",376738,35.4,2.38,52808,51838,129195,224306,20601,180183,196555,11900,4820,15182,3530,191951,153140,38811,70843,82297,192400,924,84767,23208,28743,191951,39115,5271,38811,153140,36792,27721,19523,190715,98823,365569,170454,2920,161560,167846,22,55000,Louisiana,2015
"Marion town, Louisiana",823,41.6,2.56,173,61,307,510,6,339,484,26,25,2,7,396,321,75,208,113,76700,418,263,0,11,396,72,0,75,321,29205,14967,38,294,279,823,256,0,253,256,22,48645,Louisiana,2015
"Carencro city, Louisiana",8269,36.4,2.48,1567,706,4537,3370,411,3975,4294,362,64,305,77,3349,3243,106,2035,1208,133600,676,1977,17,29,3349,1164,52,106,3243,41542,24485,368,4334,1048,8119,3955,0,3740,3824,22,12665,Louisiana,2015
"Belcher village, Louisiana",288,47.6,2.50,67,40,174,53,33,129,159,9,7,5,0,132,115,17,85,30,133600,633,110,0,4,132,62,1,17,115,31250,23254,8,144,44,288,136,8,127,136,22,05945,Louisiana,2015
"Oil City town, Louisiana",958,28.0,2.46,189,31,537,419,33,405,553,35,10,5,0,419,390,29,164,226,74400,442,198,13,27,419,91,5,29,390,20611,11474,23,326,343,956,303,11,278,297,22,57590,Louisiana,2015
"Delcambre town, Louisiana",2232,35.7,2.77,572,105,1893,282,99,984,1248,94,24,90,40,978,805,173,515,290,90500,649,652,7,55,978,234,18,173,805,46150,20513,87,1066,362,2230,974,10,963,972,22,20155,Louisiana,2015
"French Settlement village, Louisiana",1349,37.9,2.70,327,74,1343,0,6,585,764,4,9,44,12,540,499,41,419,80,162500,837,408,2,0,540,244,23,41,499,51932,27356,30,630,258,1349,600,6,561,587,22,27435,Louisiana,2015
"Port Vincent village, Louisiana",871,44.0,2.46,199,115,861,5,13,493,378,20,13,35,20,434,354,80,311,43,151900,647,327,0,0,434,207,25,80,354,68125,32296,27,511,58,869,479,5,470,481,22,62105,Louisiana,2015
