NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,county,State,Year
"St. Tammany Parish, Louisiana",246269,39.8,2.71,35337,34080,206165,28550,12898,119732,126537,7303,2871,7300,3007,98916,89893,9023,69328,20565,202000,998,77004,2426,2067,98916,44939,6538,9023,89893,63686,31792,8938,122655,27094,243579,113293,845,106791,110944,22,103,Louisiana,2016
"Caddo Parish, Louisiana",253125,36.8,2.54,46940,25065,119554,123126,6830,120312,132813,9086,3213,8305,2349,112745,97497,15248,58771,38726,132400,747,76988,3783,2135,112745,32119,3290,15248,97497,40815,25206,8130,115872,55675,248234,107072,1782,103844,106110,22,017,Louisiana,2016
"Ascension Parish, Louisiana",117009,35.0,2.86,22354,14164,86568,25560,5939,58083,58926,4606,1682,4098,1129,44127,40663,3464,32766,7897,172300,924,31794,482,247,44127,21313,2207,3464,40663,71752,30094,3555,60381,13320,116050,56704,353,53821,55612,22,005,Louisiana,2016
"Iberia Parish, Louisiana",73799,35.9,2.79,16179,4590,45666,23044,2849,36031,37768,2617,887,2309,927,30077,26185,3892,18269,7916,100300,688,19961,274,493,30077,8548,645,3892,26185,44573,23737,3908,34982,14437,72616,31067,353,30018,30547,22,045,Louisiana,2016
"St. Helena Parish, Louisiana",10714,38.5,2.62,2830,370,4775,5697,13,5205,5509,270,114,219,158,5157,4033,1124,3309,724,89900,616,3007,22,16,5157,1080,16,1124,4033,36418,19134,611,4261,2895,10483,3650,46,3487,3565,22,091,Louisiana,2016
"De Soto Parish, Louisiana",27047,39.6,2.61,6254,1769,15986,10111,747,13053,13994,877,308,804,428,12432,10259,2173,7472,2787,103600,581,7161,79,310,12432,3891,329,2173,10259,42368,23284,1160,11833,7097,26846,10673,137,10319,10523,22,031,Louisiana,2016
"Livingston Parish, Louisiana",135925,35.6,2.81,29312,11335,123634,8128,4566,66559,69366,4684,1744,4927,896,53673,48014,5659,38210,9804,152700,826,35599,378,555,53673,22848,1652,5659,48014,57334,26558,4085,65836,19472,134460,61684,516,58659,60383,22,063,Louisiana,2016
"Natchitoches Parish, Louisiana",39258,33.6,2.67,6371,2588,21408,15874,824,18654,20604,1257,800,1033,363,18762,14393,4369,7968,6425,105400,627,11120,633,440,18762,3397,335,4369,14393,30697,19178,1888,15582,11401,38306,13682,752,13320,13587,22,069,Louisiana,2016
"Catahoula Parish, Louisiana",10145,38.2,2.46,2484,705,6745,3324,130,5415,4730,265,150,520,92,4905,3731,1174,2777,954,73700,485,3294,27,83,4905,1015,21,1174,3731,34736,21870,294,4034,1875,9167,3740,102,3579,3592,22,025,Louisiana,2016
"Franklin Parish, Louisiana",20464,38.0,2.52,4450,1084,13474,6777,63,9963,10501,709,180,652,326,9109,7520,1589,5170,2350,82100,519,6399,21,164,9109,1840,20,1589,7520,32440,18178,794,7856,6017,19084,7062,88,6558,6801,22,041,Louisiana,2016
"Jackson Parish, Louisiana",15999,39.5,2.45,4007,988,10871,4837,245,8165,7834,487,133,489,217,7738,6052,1686,4200,1852,85300,496,5642,75,188,7738,1877,73,1686,6052,38310,19293,331,5928,4035,14822,5597,85,5051,5279,22,049,Louisiana,2016
"St. Charles Parish, Louisiana",52708,37.4,2.80,10704,5320,37063,13895,2998,25783,26925,1657,821,1748,467,20289,18586,1703,14753,3833,190200,897,15404,362,611,20289,8556,982,1703,18586,61691,28146,2176,26674,6522,51963,24453,323,23443,24021,22,089,Louisiana,2016
"Tensas Parish, Louisiana",4793,42.6,2.46,1381,218,2096,2669,83,2335,2458,164,48,130,73,3377,1941,1436,1173,768,57200,436,2718,19,13,3377,337,24,1436,1941,22385,16171,296,1977,1615,4774,1681,123,1624,1658,22,107,Louisiana,2016
"Richland Parish, Louisiana",20692,37.8,2.60,4573,1220,12874,7525,417,10072,10620,719,278,602,248,8829,7581,1248,5008,2573,86900,539,6168,40,310,8829,2189,41,1248,7581,35684,19347,930,8687,4751,19803,7745,429,7500,7615,22,083,Louisiana,2016
"St. Martin Parish, Louisiana",53385,36.9,2.76,12602,3617,35215,15651,1429,26391,26994,1830,606,1745,525,22536,19268,3268,15279,3989,108900,641,14944,220,283,22536,7169,554,3268,19268,46450,23597,1807,25886,9103,52746,24079,335,22924,23298,22,099,Louisiana,2016
"Winn Parish, Louisiana",14695,40.9,2.37,3227,785,9762,4605,273,7735,6960,453,205,537,157,7233,5440,1793,3537,1903,71700,545,4965,7,131,7233,1267,68,1793,5440,32063,18358,411,5588,3319,12959,5177,82,5020,5078,22,127,Louisiana,2016
"East Baton Rouge Parish, Louisiana",445337,33.3,2.58,68401,60586,214016,203768,17240,213365,231972,14922,7615,15996,4407,191397,168561,22836,99384,69177,173200,855,121677,4518,4786,191397,63404,7196,22836,168561,49942,29146,16270,232313,85171,435669,215821,1649,206016,211782,22,033,Louisiana,2016
"Allen Parish, Louisiana",25619,38.6,2.69,5935,1200,18797,5050,1092,14808,10811,887,345,1350,204,9782,7881,1901,5815,2066,82700,549,6757,97,437,9782,2638,170,1901,7881,41801,20296,880,9463,3367,21168,8581,219,8181,8373,22,003,Louisiana,2016
"Madison Parish, Louisiana",11803,34.2,2.48,2681,576,4244,7445,228,5884,5919,462,151,521,102,4928,4080,848,2184,1896,62000,490,3576,5,143,4928,799,31,848,4080,25404,14564,631,4488,3973,10045,3857,314,3767,3785,22,065,Louisiana,2016
"St. James Parish, Louisiana",21581,38.8,2.69,5797,1544,10486,10789,322,10403,11178,659,230,634,158,8702,7952,750,6129,1823,134500,722,6557,127,338,8702,2850,277,750,7952,51386,25275,844,10016,3496,21366,9172,147,8846,8987,22,093,Louisiana,2016
"Grant Parish, Louisiana",22372,37.5,2.59,4654,1028,17887,3207,1334,12543,9829,729,211,1289,225,9031,7286,1745,5277,2009,87200,701,6167,76,33,9031,2121,143,1745,7286,40389,18376,647,7736,3590,18885,7087,202,6824,6966,22,043,Louisiana,2016
"Jefferson Parish, Louisiana",435204,38.8,2.55,80483,50473,277542,115424,60284,211528,223676,14129,4703,15613,4434,189170,169192,19978,103928,65264,173500,916,123819,7480,7480,189170,60782,7260,19978,169192,49457,28067,14314,224773,69402,431453,209868,2040,200296,205709,22,051,Louisiana,2016
"Beauregard Parish, Louisiana",36435,37.4,2.73,8212,2801,30060,4781,1299,18600,17835,1269,539,1336,459,15220,13106,2114,9958,3148,108700,684,9907,63,355,15220,4323,135,2114,13106,46599,23141,1085,15751,6815,35812,14385,250,14161,14360,22,011,Louisiana,2016
"Bossier Parish, Louisiana",124720,34.7,2.56,19603,13396,90705,26788,7937,61707,63013,4531,1707,4837,1148,53917,47505,6412,30592,16913,158400,917,34182,1465,929,53917,19889,1572,6412,47505,51894,27210,3366,63836,18867,121638,56069,716,58049,59582,22,015,Louisiana,2016
"East Feliciana Parish, Louisiana",19756,41.9,2.41,5240,1347,10617,8881,292,10746,9010,587,364,741,223,8177,6822,1355,5557,1265,137100,706,5544,24,79,8177,2521,168,1355,6822,48997,21850,463,7578,2885,16793,7115,47,6781,6969,22,037,Louisiana,2016
"St. John the Baptist Parish, Louisiana",43888,36.3,2.81,9266,3488,18026,24192,2415,21472,22416,1512,562,1397,304,17619,15363,2256,11638,3725,151000,921,13798,128,472,17619,7059,798,2256,15363,51406,22775,1714,20985,7851,43202,19230,228,18505,18763,22,095,Louisiana,2016
"Ouachita Parish, Louisiana",156398,34.9,2.61,26991,15723,93835,58684,3285,74967,81431,5705,2135,5109,1459,66334,56903,9431,33903,23000,128500,697,43996,1212,2420,66334,18583,1697,9431,56903,38974,21866,5464,69693,35652,148200,64189,673,61894,63077,22,073,Louisiana,2016
"Rapides Parish, Louisiana",132373,37.3,2.66,26551,11037,84669,42345,3860,63960,68413,4655,1761,4266,1321,56988,48154,8834,29720,18434,129000,754,39196,885,2322,56988,15550,1192,8834,48154,42132,22904,4682,58889,25882,128654,53655,1132,51721,52733,22,079,Louisiana,2016
"St. Landry Parish, Louisiana",83699,36.4,2.71,20840,4811,47063,34476,1603,40138,43561,3262,1020,2398,882,36172,30467,5705,21178,9289,95200,604,24908,188,1408,36172,8989,583,5705,30467,31424,19008,1905,32793,23007,82315,30878,270,29317,30208,22,097,Louisiana,2016
"Tangipahoa Parish, Louisiana",127115,34.7,2.68,24586,11043,85433,37307,4975,61684,65431,4763,2146,4289,1438,52513,46068,6445,31228,14840,143300,758,32591,630,3191,52513,17358,1345,6445,46068,43690,22554,5912,60542,27460,123347,54520,473,51999,53527,22,105,Louisiana,2016
"St. Mary Parish, Louisiana",53053,38.1,2.58,14019,2680,31942,16655,3431,26204,26849,1804,558,1587,509,23206,20164,3042,13091,7073,95500,688,15406,251,726,23206,5148,293,3042,20164,40771,21989,2583,23714,11227,51973,21062,204,20392,20730,22,101,Louisiana,2016
"West Carroll Parish, Louisiana",11370,39.9,2.54,2650,602,9242,1817,343,5750,5620,330,145,376,123,5076,4185,891,3026,1159,73100,516,3656,28,21,5076,1103,19,891,4185,36670,21459,481,4343,2551,10622,3862,101,3755,3797,22,123,Louisiana,2016
"Union Parish, Louisiana",22460,41.4,2.69,6230,1326,16056,5745,1021,11100,11360,678,238,665,385,11429,8194,3235,6526,1668,89500,480,6981,24,118,11429,2652,216,3235,8194,37049,20090,593,8949,5438,21812,8345,108,7980,8189,22,111,Louisiana,2016
"Caldwell Parish, Louisiana",9997,39.7,2.62,2214,545,8155,1641,276,5287,4710,327,69,311,51,5028,3635,1393,2778,857,61200,552,3127,13,167,5028,1269,70,1393,3635,29832,19774,458,4197,2391,9511,3739,58,3593,3711,22,021,Louisiana,2016
"East Carroll Parish, Louisiana",7419,31.7,2.15,1419,403,2015,5277,58,4256,3163,79,153,304,40,3076,2557,519,1080,1477,55900,499,2067,17,269,3076,353,29,519,2557,22093,11133,240,2084,2671,5488,1844,325,1813,1836,22,035,Louisiana,2016
"Lafayette Parish, Louisiana",234963,34.2,2.58,37115,33204,164408,59975,10331,114864,120099,8290,3027,9208,2187,97847,89288,8559,57992,31296,168300,806,63628,2430,1887,97847,34687,3075,8559,89288,52435,30403,6426,125247,37976,229811,118583,754,113235,116412,22,055,Louisiana,2016
"Evangeline Parish, Louisiana",33765,35.5,2.67,6852,1837,23128,9260,1072,17283,16482,1196,741,1201,325,14842,11871,2971,7928,3943,86600,532,11299,150,359,14842,3448,110,2971,11871,30724,18440,1418,12742,8807,31500,11279,503,10709,10989,22,039,Louisiana,2016
"Lincoln Parish, Louisiana",47480,27.4,2.58,5624,5191,25626,19378,1327,23134,24346,1439,1572,1449,400,19722,17144,2578,9272,7872,141300,666,11602,137,1719,19722,4685,338,2578,17144,34527,21452,2429,23339,13916,44174,20884,155,19950,20612,22,061,Louisiana,2016
"St. Bernard Parish, Louisiana",44091,33.2,2.97,9616,2884,31388,9678,4268,21801,22290,1693,528,1793,366,16871,14732,2139,9879,4853,133400,855,12292,661,1708,16871,5281,323,2139,14732,43565,19990,2206,19951,8784,43675,17719,267,17231,17518,22,087,Louisiana,2016
"Webster Parish, Louisiana",40335,40.7,2.49,9542,2889,25658,13895,703,19558,20777,1277,475,1187,493,19427,15806,3621,11123,4683,80800,606,13639,211,209,19427,4730,248,3621,15806,31920,19512,1365,16445,9693,39307,15029,716,14616,14841,22,119,Louisiana,2016
"West Baton Rouge Parish, Louisiana",25017,35.5,2.62,5039,2238,14832,9518,712,12436,12581,873,379,1010,197,10078,9253,825,6760,2493,168600,788,7100,41,115,10078,3624,362,825,9253,53882,27245,842,12714,4933,24303,11856,68,11320,11479,22,121,Louisiana,2016
"Iberville Parish, Louisiana",33159,38.4,2.63,7602,2101,16352,16298,824,16812,16347,1009,438,1298,337,13009,11162,1847,8459,2703,115500,667,9277,207,239,13009,3928,326,1847,11162,46480,22397,1013,14168,5465,29547,13094,108,12613,12841,22,047,Louisiana,2016
"Red River Parish, Louisiana",8757,40.0,2.48,2229,504,5079,3271,167,4230,4527,313,216,240,99,4140,3491,649,2577,914,83900,538,2597,16,179,4140,1062,48,649,3491,36831,23748,290,3630,1953,8560,3332,85,3147,3258,22,081,Louisiana,2016
"Morehouse Parish, Louisiana",26739,39.6,2.52,6566,1840,13408,12881,320,12774,13965,965,298,775,286,12502,10273,2229,6671,3602,80500,561,9160,166,191,12502,2399,227,2229,10273,30279,18222,857,10626,7441,25858,9754,167,9496,9577,22,067,Louisiana,2016
"Orleans Parish, Louisiana",382922,35.5,2.39,53374,54907,130323,229143,20951,182959,199963,11866,4678,16076,3564,192358,154844,37514,71789,83055,197000,929,85542,21050,30736,192358,39716,5073,37514,154844,37488,28444,18892,194127,97252,371081,174373,3066,164433,171776,22,071,Louisiana,2016
"Terrebonne Parish, Louisiana",113099,35.4,2.81,24293,7831,80429,21574,5477,55881,57218,4186,1445,4107,1029,44616,39825,4791,28885,10940,139200,871,30260,432,1151,44616,13962,1167,4791,39825,48166,24069,2720,51321,22457,111155,48503,574,46033,47783,22,109,Louisiana,2016
"Calcasieu Parish, Louisiana",197233,36.1,2.54,37417,17712,139481,49002,5982,96206,101027,6876,2422,6687,2088,85898,76270,9628,51798,24472,126600,770,58159,976,3368,85898,26358,2503,9628,76270,46457,25249,7042,95231,33266,193539,88048,893,84502,86127,22,019,Louisiana,2016
"Claiborne Parish, Louisiana",16452,41.3,2.49,3687,1034,7589,8308,228,9408,7044,413,470,777,270,7755,5828,1927,3872,1956,76100,653,5310,61,124,7755,1247,56,1927,5828,28927,16417,857,5962,4367,14401,5105,384,4950,5025,22,027,Louisiana,2016
"Avoyelles Parish, Louisiana",41252,38.1,2.50,9653,1996,27595,12594,705,20732,20520,1438,392,1507,534,18184,15016,3168,10395,4621,93000,614,13248,126,606,18184,4607,188,3168,15016,34985,19595,1388,16402,8671,37533,14994,178,14407,14685,22,009,Louisiana,2016
"Assumption Parish, Louisiana",22973,39.3,2.62,5337,1231,15581,6881,589,11284,11689,628,280,609,324,10502,8676,1826,6936,1740,108600,684,7047,44,113,10502,2734,237,1826,8676,47822,24207,832,10125,4186,22738,9287,54,8901,9027,22,007,Louisiana,2016
"Pointe Coupee Parish, Louisiana",22366,42.7,2.53,5650,1484,13927,7874,522,10791,11575,728,216,635,188,11298,8802,2496,6689,2113,121400,619,8140,133,188,11298,3103,276,2496,8802,44275,25670,874,9979,4182,22103,9105,106,8592,8843,22,077,Louisiana,2016
"Vermilion Parish, Louisiana",59524,36.9,2.71,13462,3561,48363,8421,1878,28756,30768,2164,686,1849,543,25869,21743,4126,16372,5371,103800,654,18379,115,353,25869,7137,456,4126,21743,47083,23521,2238,27190,10150,58563,24948,238,23899,24528,22,113,Louisiana,2016
"Lafourche Parish, Louisiana",97688,36.7,2.66,21655,7288,77672,12975,4190,47946,49742,3246,1482,3363,850,39711,35961,3750,27049,8912,138200,737,28410,510,680,39711,13269,1355,3750,35961,52071,25299,3417,46778,14646,95131,43290,413,40936,41984,22,057,Louisiana,2016
"Concordia Parish, Louisiana",20288,37.4,2.40,4422,1095,11776,8338,261,10295,9993,658,154,722,285,9434,7579,1855,4611,2968,77800,525,6335,40,144,9434,1842,88,1855,7579,28405,17110,755,7775,5794,18171,7020,278,6816,6892,22,029,Louisiana,2016
"LaSalle Parish, Louisiana",14927,38.7,2.55,3303,801,12779,1844,379,7767,7160,433,254,597,154,6581,5320,1261,4044,1276,69100,539,4480,0,216,6581,1550,105,1261,5320,35339,19434,280,5376,3134,13589,5096,103,4811,4970,22,059,Louisiana,2016
"New Haven County, Connecticut",862127,40.1,2.55,162447,111795,641178,112152,148446,415863,446264,23147,13168,27178,9064,365546,327402,38144,204037,123365,244400,1100,196099,17771,34829,365546,138484,26044,38144,327402,64872,35085,35377,461085,100732,835945,425229,14480,400255,417961,09,009,Connecticut,2017
"Litchfield County, Connecticut",184454,46.9,2.43,34642,27496,171607,3560,10510,91198,93256,3917,2099,4534,2395,88068,74605,13463,57330,17275,250100,995,64843,3315,6505,88068,38882,8338,13463,74605,76438,40619,6295,104487,12400,182316,98166,1606,90689,95797,09,005,Connecticut,2017
"Hartford County, Connecticut",897417,40.4,2.50,146945,132166,644122,121811,154977,435729,461688,24344,12147,29078,8928,377840,348871,28969,225378,123493,235300,1044,210078,22821,28841,377840,155396,29526,28969,348871,69936,37817,35391,481287,97996,874029,445468,17094,419296,436724,09,003,Connecticut,2017
"Windham County, Connecticut",116674,41.0,2.50,21872,11950,103901,2617,12946,57906,58768,3032,1814,3537,1332,49577,44529,5048,31142,13387,196800,869,32804,2036,4377,49577,21480,3990,5048,44529,62553,29993,4857,64004,12313,111338,59022,3517,54428,56733,09,015,Connecticut,2017
"New London County, Connecticut",270772,41.0,2.41,49230,34115,219757,15556,27186,135581,135191,6992,4029,8365,3060,122599,107193,15406,71447,35746,238900,1071,80285,4950,9566,122599,48071,8613,15406,107193,69411,36881,10006,150766,25689,258574,133786,4030,131473,138125,09,011,Connecticut,2017
"Middlesex County, Connecticut",164110,45.1,2.38,29034,27082,145791,8442,9612,80227,83883,3578,2167,4198,1959,75938,66599,9339,49088,17511,283700,1132,53742,3001,4546,75938,33772,6475,9339,66599,81673,43695,4715,93241,11433,158851,88344,1506,82044,86920,09,007,Connecticut,2017
"Tolland County, Connecticut",151596,37.9,2.47,22459,21525,134422,4797,7860,76162,75434,3195,4752,4001,1676,59099,54878,4221,39710,15168,247500,1093,40894,2405,2720,59099,27376,5311,4221,54878,81312,37830,4962,85709,8798,135845,80613,1689,73200,77021,09,013,Connecticut,2017
"Fairfield County, Connecticut",947328,40.2,2.75,127034,165926,696286,107305,180379,461380,485948,26993,13390,27677,9271,369044,337678,31366,228666,109012,417800,1439,213876,25094,31656,369044,161043,34890,31366,337678,89773,53433,39109,513785,81422,929135,474458,6464,437458,464718,09,001,Connecticut,2017
"Richland Parish, Louisiana",20619,38.2,2.62,4333,1379,12740,7435,427,10028,10591,706,272,594,271,8917,7500,1417,4752,2748,86900,609,6186,31,379,8917,1931,49,1417,7500,34745,19975,611,8723,5567,19733,8098,333,7899,7977,22,083,Louisiana,2017
"St. Martin Parish, Louisiana",53609,37.1,2.74,12456,3834,35372,15768,1504,26445,27164,1838,627,1736,520,22922,19435,3487,15501,3934,114200,664,15653,177,270,22922,7169,533,3487,19435,47279,23654,1645,25554,9367,53053,23899,323,22895,23282,22,099,Louisiana,2017
"Vernon Parish, Louisiana",51906,30.1,2.79,9384,3841,39538,7603,4857,27614,24292,2256,880,2252,418,22021,17930,4091,9399,8531,116600,952,11113,1385,1469,22021,4215,201,4091,17930,46620,22583,1655,24135,8433,49991,17386,383,21530,21957,22,115,Louisiana,2017
"Winn Parish, Louisiana",14631,40.9,2.37,3407,911,9783,4569,281,7712,6919,444,174,561,219,7281,5382,1899,3508,1874,72700,580,5013,28,117,7281,1303,35,1899,5382,29472,18417,323,5358,3498,12808,5035,116,4910,4955,22,127,Louisiana,2017
"East Baton Rouge Parish, Louisiana",446167,33.4,2.61,68107,60801,212859,204078,17825,214073,232094,15012,7236,15926,4588,192159,167188,24971,98239,68949,177800,882,121609,4733,4545,192159,61632,6788,24971,167188,51436,30162,15944,232599,83483,436841,216397,1678,206630,212556,22,033,Louisiana,2017
"Sabine Parish, Louisiana",24145,41.3,2.59,6017,1571,16938,4001,921,11997,12148,804,234,742,343,14767,9174,5593,6803,2371,84200,530,7801,92,335,14767,2449,106,5593,9174,40695,22980,902,9505,4639,23706,8598,162,7946,8167,22,085,Louisiana,2017
"Allen Parish, Louisiana",25667,38.2,2.71,5934,1424,18865,5004,1245,14542,11125,865,324,1345,188,9870,7834,2036,5948,1886,84800,570,6824,106,401,9870,2652,145,2036,7834,42176,20103,894,9473,3518,21155,8577,265,8199,8395,22,003,Louisiana,2017
"Madison Parish, Louisiana",11616,35.1,2.43,2621,698,4143,7374,231,5786,5830,419,183,452,84,4988,4073,915,2287,1786,64100,533,3733,3,127,4988,761,24,915,4073,29424,15134,530,4297,3591,9854,3767,242,3660,3678,22,065,Louisiana,2017
"Jefferson Davis Parish, Louisiana",31405,38.1,2.70,7458,2084,25229,5115,709,15431,15974,1143,462,947,410,13713,11435,2278,8170,3265,101800,600,10366,122,314,13713,3218,239,2278,11435,40744,23068,1223,13405,6025,30733,12173,163,11726,11919,22,053,Louisiana,2017
"St. James Parish, Louisiana",21485,38.9,2.70,5803,1435,10420,10692,336,10340,11145,638,200,624,170,8817,7887,930,6108,1779,136400,725,6469,120,329,8817,2701,242,930,7887,52055,25724,819,10012,3316,21275,9193,171,8950,9055,22,093,Louisiana,2017
"Grant Parish, Louisiana",22305,37.7,2.60,4654,924,17587,3408,1084,12669,9636,689,289,1266,289,9201,7271,1930,4853,2418,93600,721,6316,56,38,9201,1941,118,1930,7271,40577,18509,622,7871,3813,18886,7248,268,6909,7062,22,043,Louisiana,2017
"West Feliciana Parish, Louisiana",15376,40.5,3.03,2487,1510,8203,6909,233,10210,5166,216,1214,837,261,5363,3947,1416,2903,1044,209600,853,3681,42,97,5363,1424,138,1416,3947,55647,23041,260,5764,1504,12074,5504,19,5293,5384,22,125,Louisiana,2017
"Jefferson Parish, Louisiana",437038,39.0,2.57,81631,51200,276284,116282,62334,212326,224712,14333,4470,15748,4440,188528,168786,19742,104407,64379,176000,936,123993,7420,7428,188528,59993,6434,19742,168786,50868,28839,13118,224152,70702,433301,210435,1804,201025,206895,22,051,Louisiana,2017
"Beauregard Parish, Louisiana",36598,37.5,2.72,8136,2804,30377,4637,1343,18631,17967,1258,540,1335,398,15438,13327,2111,10189,3138,115200,699,9939,63,372,15438,4148,137,2111,13327,47350,24551,1136,15604,6246,36175,14174,263,13905,14134,22,011,Louisiana,2017
"Bienville Parish, Louisiana",13806,42.3,2.31,3619,751,7693,5725,238,6692,7114,426,118,368,213,7800,5840,1960,4207,1633,76000,490,4820,22,126,7800,1538,73,1960,5840,34077,22701,401,5430,3409,13480,5020,117,4809,4950,22,013,Louisiana,2017
"Bossier Parish, Louisiana",125698,34.9,2.54,19842,13583,90976,27490,8204,62214,63484,4622,1679,4920,1078,55257,48142,7115,30303,17839,164600,952,35713,1371,979,55257,19263,1337,7115,48142,52145,27235,3361,63104,20009,122141,54751,874,57176,58920,22,015,Louisiana,2017
"Cameron Parish, Louisiana",6806,43.2,2.53,1538,469,6494,190,377,3289,3517,163,124,162,88,3809,2686,1123,2414,272,110900,803,2271,9,0,3809,953,30,1123,2686,60194,29681,97,3233,590,6797,3118,12,3069,3097,22,023,Louisiana,2017
"East Feliciana Parish, Louisiana",19553,42.4,2.34,4957,1236,10508,8734,296,10667,8886,567,328,747,290,8324,6817,1507,5502,1315,124100,732,5393,45,93,8324,2468,161,1507,6817,46964,21138,451,7371,2928,16329,6920,52,6638,6809,22,037,Louisiana,2017
"St. John the Baptist Parish, Louisiana",43565,36.5,2.78,9424,3382,17716,24175,2524,21285,22280,1505,519,1422,226,17702,15421,2281,11728,3693,152800,914,13888,109,508,17702,7199,680,2281,15421,53628,23380,1525,20851,7643,42804,19280,298,18697,19001,22,095,Louisiana,2017
"Plaquemines Parish, Louisiana",23394,35.9,2.63,4618,2074,16090,4881,1562,11393,12001,795,260,824,236,10094,8759,1335,6046,2713,165900,1118,5301,644,455,10094,2657,370,1335,8759,49635,26177,303,10892,4437,23037,9849,128,10209,10353,22,075,Louisiana,2017
"Ouachita Parish, Louisiana",156433,35.1,2.61,27759,16303,93733,58629,3411,75019,81414,5688,2191,5065,1231,67092,56799,10293,33710,23089,133400,730,44644,1173,2301,67092,18213,1652,10293,56799,40081,22538,4802,69133,36450,148647,64288,508,61929,63315,22,073,Louisiana,2017
"Rapides Parish, Louisiana",132080,37.3,2.66,26348,11153,84271,42291,3959,63888,68192,4608,1772,4225,1359,57515,48032,9483,29438,18594,133800,780,38967,914,2457,57515,15198,1249,9483,48032,42655,23486,4475,58460,25112,128469,53417,926,51516,52711,22,079,Louisiana,2017
"Washington Parish, Louisiana",46449,39.9,2.54,10037,2511,31184,13993,969,22944,23505,1461,431,1317,618,21468,17542,3926,12545,4997,84600,582,14726,111,289,21468,5118,279,3926,17542,32962,18345,2282,18562,11679,44475,16259,272,15500,15914,22,117,Louisiana,2017
"St. Landry Parish, Louisiana",83580,36.2,2.70,20161,4940,46962,34282,1683,40144,43436,3253,1017,2397,878,36458,30467,5991,21254,9213,99200,616,25685,121,1409,36458,8937,455,5991,30467,32163,19205,1793,32382,22942,82160,30554,231,28958,29958,22,097,Louisiana,2017
"Tangipahoa Parish, Louisiana",128850,34.9,2.63,25800,11679,86555,37995,5274,62548,66302,4766,2142,4337,1584,53709,47598,6111,32452,15146,149300,783,33772,624,3406,53709,17737,1276,6111,47598,45901,23520,5421,61316,27355,124818,55791,432,53328,55078,22,105,Louisiana,2017
"Acadia Parish, Louisiana",62607,35.8,2.71,13822,3350,49346,11053,1500,30433,32174,2255,749,1900,570,26103,22675,3428,16177,6498,97500,593,18832,208,751,26103,6738,449,3428,22675,40492,21591,2435,27417,13196,61250,24982,461,23733,24338,22,001,Louisiana,2017
"St. Mary Parish, Louisiana",52578,38.0,2.58,14720,2649,31960,16362,3598,26153,26425,1939,533,1556,541,23413,20032,3381,12515,7517,97000,752,15584,209,748,23413,4816,276,3381,20032,41345,22212,1947,23094,10046,51497,21085,166,20400,20706,22,101,Louisiana,2017
"West Carroll Parish, Louisiana",11274,41.0,2.55,2820,550,9116,1789,365,5696,5578,304,140,392,118,5141,4182,959,3105,1077,79400,523,3797,23,21,5141,1109,10,959,4182,37304,22857,433,4253,2344,10670,3820,72,3694,3746,22,123,Louisiana,2017
"St. Tammany Parish, Louisiana",249201,39.8,2.70,34964,35597,207710,29050,13500,121268,127933,7400,3010,7384,2939,100551,91353,9198,71409,19944,206600,1012,78495,2195,2116,100551,45939,6223,9198,91353,66539,33149,7964,123870,26554,246484,115543,787,108546,113406,22,103,Louisiana,2017
"Union Parish, Louisiana",22537,41.7,2.77,6168,1393,16189,5731,1050,11212,11325,716,298,581,353,11596,7971,3625,6506,1465,88700,466,6879,31,125,11596,2475,199,3625,7971,38916,20742,594,9038,4801,21824,8431,130,8105,8312,22,111,Louisiana,2017
"Caldwell Parish, Louisiana",10000,39.9,2.56,2233,575,8187,1695,313,5313,4687,333,105,300,52,5095,3680,1415,2712,968,67800,577,3162,4,127,5095,1223,69,1415,3680,31933,20961,357,3808,2471,9425,3451,42,3342,3400,22,021,Louisiana,2017
"Caddo Parish, Louisiana",251069,37.1,2.53,47704,25380,117457,121934,6979,119235,131834,8922,3090,8228,2296,112901,97283,15618,58413,38870,138200,764,76784,3704,1935,112901,31797,3043,15618,97283,40391,25565,7913,114083,57607,246165,105583,2557,102003,104472,22,017,Louisiana,2017
"East Carroll Parish, Louisiana",7318,33.8,2.06,1515,359,2033,5239,38,4409,2909,182,194,291,43,3020,2417,603,1091,1326,68200,474,2047,14,327,3020,311,35,603,2417,20795,14694,125,1822,2398,4978,1697,208,1649,1677,22,035,Louisiana,2017
"Ascension Parish, Louisiana",119129,35.3,2.82,22235,14763,87674,26036,6261,58718,60411,4543,1635,4146,1120,45498,41884,3614,33582,8302,179800,972,32882,486,363,45498,21762,2226,3614,41884,74748,31520,3841,61400,13824,118199,57496,352,54406,56461,22,005,Louisiana,2017
