NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,county,State,Year
"Iberia Parish, Louisiana",73938,35.8,2.77,16476,4257,46055,23236,2761,36017,37921,2597,900,2395,800,30002,26345,3657,18573,7772,99600,657,19838,285,601,30002,8513,815,3657,26345,45261,23977,3749,35273,14277,72872,31517,332,30520,31029,22,045,Louisiana,2015
"St. Helena Parish, Louisiana",10818,39.2,2.59,2863,409,4821,5699,16,5254,5564,269,193,228,157,5163,4131,1032,3516,615,78400,619,2912,18,12,5163,1292,24,1032,4131,35437,18620,611,4230,2854,10604,3619,54,3447,3456,22,091,Louisiana,2015
"De Soto Parish, Louisiana",26965,39.8,2.61,6442,1546,15663,10246,727,12944,14021,866,321,749,443,12369,10244,2125,7566,2678,98400,589,7112,85,230,12369,3927,384,2125,10244,41468,22513,1083,11604,7059,26693,10521,116,10182,10372,22,031,Louisiana,2015
"Livingston Parish, Louisiana",133949,35.3,2.79,28805,12420,121884,8234,4452,65803,68146,4697,1607,4942,948,52888,47608,5280,38124,9484,152600,793,35630,494,535,52888,23550,2303,5280,47608,58251,25999,4623,66330,19086,132328,61631,447,58546,60200,22,063,Louisiana,2015
"Franklin Parish, Louisiana",20550,37.9,2.54,4543,864,13614,6724,78,9993,10557,717,168,593,323,9091,7469,1622,5258,2211,79300,496,6591,25,108,9091,1857,72,1622,7469,30275,17324,915,7977,5847,19061,7062,135,6626,6805,22,041,Louisiana,2015
"Jackson Parish, Louisiana",16109,39.6,2.49,3815,940,10948,4860,247,8288,7821,525,181,478,175,7729,6038,1691,4110,1928,77200,510,5546,64,210,7729,1776,95,1691,6038,38029,18986,408,5944,3981,15021,5536,67,4955,5248,22,049,Louisiana,2015
"St. Charles Parish, Louisiana",52639,37.2,2.83,10617,5119,37152,13867,2971,25699,26940,1555,789,1766,480,20209,18383,1826,14886,3497,184300,896,15561,339,542,20209,8939,1079,1826,18383,59990,27247,2059,26926,6152,51919,24804,361,23901,24385,22,089,Louisiana,2015
"Tensas Parish, Louisiana",4893,43.0,2.48,1410,238,2092,2763,82,2362,2531,154,20,121,59,3367,1915,1452,1166,749,54200,434,2731,20,13,3367,329,40,1452,1915,22940,16912,302,1938,1685,4757,1636,94,1576,1604,22,107,Louisiana,2015
"Natchitoches Parish, Louisiana",39330,33.8,2.66,6563,2692,21532,15921,815,18765,20565,1267,803,1036,360,18720,14456,4264,8391,6065,101900,614,11043,656,434,18720,3742,279,4264,14456,31345,19883,2016,16481,11208,38357,14446,542,14005,14326,22,069,Louisiana,2015
"Catahoula Parish, Louisiana",10247,38.5,2.48,2540,692,6794,3326,112,5483,4764,312,144,438,94,4901,3748,1153,2793,955,71100,473,3245,46,74,4901,1068,43,1153,3748,34904,21851,340,4089,1890,9260,3749,120,3595,3623,22,025,Louisiana,2015
"Richland Parish, Louisiana",20777,38.0,2.59,4648,1298,12978,7506,422,10062,10715,732,267,623,233,8786,7619,1167,5055,2564,82500,531,6319,45,314,8786,2240,71,1167,7619,36421,19699,856,8913,4154,19873,8038,441,7751,7925,22,083,Louisiana,2015
"St. Martin Parish, Louisiana",53126,36.7,2.77,12575,3296,34977,15801,1311,26136,26990,1861,626,1698,552,22390,19055,3335,14952,4103,101700,656,14917,176,255,22390,7093,620,3335,19055,42794,22983,1867,25788,9388,52519,23921,330,22941,23240,22,099,Louisiana,2015
